Time,Inertial_X_Position,Inertial_Y_Position,Inertial_Z_Position,Body_U_Vel,Body_V_Vel,Body_W_Vel,Body_P_Vel,Body_Q_Vel,Body_R_Vel,Roll_Angle,Pitch_Angle,Yaw_Angle,Phase,Inertial_Vx,Inertial_Vy,Inertial_Vz,Eul_Phi_Dot,Eul_Theta_Dot,Eul_Psi_Dot,delta_R,delta_L,delta_s,delta_a,GAMMA_deg,Wind_X,Wind_Y,Wind_Z
251.35,304.576266211756,15.0168595267957,-558.33370931152,3.64625679520011,-4.87867360848154,-0.0287811415447477,0.151455969349585,0.0411060405500994,0.263929068058269,-1.61067057685632,-20.8613187336825,3235.30635510025,2,2.95822213729457,-5.13684687615834,1.39971393722737,0.0513554217018064,0.0485082655309826,0.281096651261401,0,1,0,-1,7,0,0,0
251.4,304.725127428921,14.7612721552671,-558.264488141283,3.60260997718243,-4.87282567702767,-0.0252221195142923,0.148944948989406,0.0190338208131152,0.267532993805672,-1.46854850324025,-20.754645978396,3236.11797400099,2,2.99601946406016,-5.08637935691416,1.36984571767679,0.0477791137157799,0.0258839581938316,0.285483337594687,0,1,0,-1,7,0,0,0
251.45,304.875850923398,14.5082471278705,-558.196651464534,3.55942527414625,-4.86621892079126,-0.0222538989013585,0.146138091127824,-0.0034420013431453,0.270907051483158,-1.33740071333123,-20.7133763936332,3236.94182968495,2,3.03278255361318,-5.03438058477583,1.3443705640358,0.0436960911887234,0.00288188691031061,0.289635177414456,0,1,0,-1,7,0,0,0
251.5,305.028395358339,14.2578569626836,-558.129974596318,3.51723965121419,-4.85890959951341,-0.0199114486305552,0.143060375982479,-0.0261270880867434,0.274017664901271,-1.21865825439272,-20.7383006379659,3237.77721558465,2,3.06892539622771,-4.98101070589494,1.32348138870629,0.0391214208296741,-0.0202933720020944,0.293529880695099,0,1,0,-1,7,0,0,0
251.55,305.182739884675,14.0101664314987,-558.06422442733,3.4765776789432,-4.85096710348766,-0.0182322891418937,0.13973928359758,-0.0488205720958996,0.276834786026983,-1.11370265796608,-20.8296139783207,3238.62337218757,2,3.10485234761298,-4.9264191300519,1.30732286287428,0.0340747294784068,-0.0434306351725263,0.297152696336565,0,1,0,-1,7,0,0,0
251.6,305.33888348969,13.7652331358831,-557.999161744029,3.43794499522413,-4.84247392335325,-0.017255734225244,0.13620482878357,-0.0713143201719648,0.279331957546665,-1.02385184006675,-20.9868966309197,3239.47950785753,2,3.14095145017528,-4.87074306029783,1.2959950914679,0.028580913537627,-0.0663116536601505,0.300495834397357,0,1,0,-1,7,0,0,0
251.65,305.496844028682,13.5231081421888,-557.934543367721,3.40182192224572,-4.83352523083591,-0.0170218826653898,0.13248959016498,-0.0933925606292866,0.281486333446248,-0.950344088424481,-21.2090932861565,3240.34481768457,2,3.17758844762369,-4.81410659828338,1.28955713723017,0.0226707648655718,-0.0887110174788488,0.303557665141101,0,1,0,-1,7,0,0,0
251.7,305.656656976198,13.2838366479222,-557.870124126116,3.36865732216203,-4.82422805138028,-0.0175703735888073,0.128628722538207,-0.114831971376269,0.283278662249608,-0.894320374481255,-21.4944929883147,3241.2184997071,2,3.21510156485967,-4.75662037492352,1.28803016284855,0.0163815152740361,-0.110396512690563,0.306341684496994,0,1,0,-1,7,0,0,0
251.75,305.818373936767,13.0474586547619,-557.805658681319,3.33886278705035,-4.81470002389629,-0.0189389127860007,0.124659940721295,-0.135402312771601,0.284693237886478,-0.856805213831401,-21.8407107811897,3242.09976783274,2,3.25379711815999,-4.69838164211192,1.29140000472105,0.00975730694703786,-0.131130008918032,0.308855244429496,0,1,0,-1,7,0,0,0
251.8,305.982060958151,12.8140096270072,-557.740903246269,3.312807268427,-4.80506775790486,-0.0211615736311297,0.120623462209178,-0.154867674067223,0.285717823901468,-0.838686273259419,-22.2446727345661,3242.98786079619,2,3.29394601496074,-4.63947475063006,1.29961904294626,0.00284959879597134,-0.150668941362408,0.311108059005204,0,1,0,-1,7,0,0,0
251.85,306.14779669293,12.5835211181771,-557.675617227053,3.29081225723548,-4.79546481381485,-0.0242668772072639,0.116561895324954,-0.172988383907699,0.286343557835063,-0.840692894001869,-22.7026061270151,3243.88204654555,2,3.3357811952847,-4.57997193210096,1.31260728802993,-0.00428248201596207,-0.16876843477294,0.313110512502927,0,1,0,-1,7,0,0,0
251.9,306.315670456583,12.3560213527017,-557.609564831019,3.27314762521859,-4.78602934741192,-0.0282756633051143,0.112520059288548,-0.189523613574978,0.286564844018286,-0.863373680829145,-23.2100366684344,3244.78162154927,2,3.37949605543632,-4.51993429886646,1.33025266363895,-0.0115718394669361,-0.185184096695626,0.314871814549204,0,1,0,-1,7,0,0,0
251.95,306.485780231833,12.13153575398,-557.542516680171,3.26002823163589,-4.77690147433672,-0.0331987781109656,0.108544722828334,-0.204234676443567,0.286379244575763,-0.907073309364874,-23.7617946906744,3245.68590467546,2,3.42524387699366,-4.45941297517728,1.35241052398649,-0.0189431658347694,-0.199675483414567,0.316398068680465,0,1,0,-1,7,0,0,0
252,306.658230669607,11.910087414346,-557.474251465948,3.25161138458883,-4.7682204237618,-0.0390346259811284,0.104684248770088,-0.216888998825653,0.285787379913863,-0.971908746174852,-24.3520322055712,3246.59422551864,2,3.47313825920412,-4.39845027626726,1.37890250113974,-0.0263127801743054,-0.212010214333028,0.317690344424167,0,1,0,-1,7,0,0,0
252.05,306.833131136055,11.6916975064951,-557.40455767543,3.24799522361314,-4.76012156200716,-0.0457666611018111,0.100988133593903,-0.227264706744718,0.284792851106197,-1.05774517451533,-24.9742526164752,3247.50590734291,2,3.52325452056067,-4.33708085886593,1.40951482857584,-0.0335885941168503,-0.221968679498707,0.318742868054947,0,1,0,-1,7,0,0,0
252.1,307.010593852451,11.4763856394945,-557.333235410605,3.24921806029917,-4.7527333758386,-0.0533609282213682,0.0975064334056602,-0.235155741090626,0.283402197053069,-1.16417208816937,-25.6213546631287,3248.42024517638,2,3.5756319966433,-4.27533277746348,1.44399632976408,-0.040670277923258,-0.229349251221218,0.319541472081997,0,1,0,-1,7,0,0,0
252.15,307.190732170059,11.2641701654404,-557.260098312025,3.25525867794753,-4.74617451110731,-0.0617637968182801,0.0942890712819671,-0.240377381062342,0.281624898729499,-1.29048026589922,-26.2856918739763,3249.33648002586,2,3.63027711833014,-4.21322839493474,1.48205629214246,-0.0474497284577119,-0.233973875154237,0.320062465790266,0,1,0,-1,7,0,0,0
252.2,307.373659015171,11.055068444972,-557.184975586664,3.26603755194596,-4.74055096475551,-0.0709000655315587,0.0913850256630846,-0.242772023760996,0.279473440897717,-1.4356406690585,-26.9591483910252,3250.25377067064,2,3.68716711009382,-4.15078511345684,1.52336246625855,-0.0538119669323484,-0.23569387994369,0.320272105098254,0,1,0,-1,7,0,0,0
252.25,307.559485530411,10.8490970810739,-557.107714127524,3.28141891273191,-4.73595352672654,-0.0806716379579887,0.0888414054995251,-0.242215037195745,0.276963438043458,-1.59828669916188,-27.6332315201746,3251.17116501484,2,3.74625410570156,-4.08801591126869,1.56753943683955,-0.0596366117776806,-0.234395809004574,0.32012684453549,0,1,0,-1,7,0,0,0
252.3,307.748319927328,10.6462721308024,-557.028180700331,3.30121353657269,-4.73245556285477,-0.0909569811870251,0.0867024252412139,-0.238620475822094,0.274113825808888,-1.77670167522493,-28.2991807491637,3252.08757348769,2,3.80746944186452,-4.02492969174945,1.61416760796828,-0.0648000732099445,-0.230007045065539,0.319574540973324,0,1,0,-1,7,0,0,0
252.35,307.940266552593,10.4466093037155,-556.946264160822,3.32518211998252,-4.73011122045122,-0.101611569372716,0.0850083013987359,-0.231946423318963,0.270947111823513,-1.96881378397334,-28.9480922768739,3253.0017474196,2,3.87072786288081,-3.96153147238683,1.66278302996127,-0.0691785927342023,-0.222500970325652,0.318556740977912,0,1,0,-1,7,0,0,0
252.4,308.135425156337,10.2501241539053,-556.861877655312,3.35303907535577,-4.72895412532104,-0.112469482373015,0.0837941020120117,-0.222199708364508,0.26748967081284,-2.17220103825073,-29.5710573308161,3253.91226560943,2,3.93593135460099,-3.89782246116517,1.71287827291489,-0.0726521955751023,-0.211901385648384,0.317012115190957,0,1,0,-1,7,0,0,0
252.45,308.333890337047,10.0568322697027,-556.77496074769,3.38445658165867,-4.72899662279885,-0.123346272544136,0.0830885903785755,-0.209439728040847,0.263772058742136,-2.38410885160711,-30.159311743689,3254.81753234175,2,4.0029723274024,-3.83380008531112,1.76390452305254,-0.0751095326614102,-0.198285905061307,0.314881000764228,0,1,0,-1,7,0,0,0
252.5,308.535751123854,9.8667494615286,-556.685481407957,3.41906873686694,-4.7302295966473,-0.134043132750618,0.0829131139614785,-0.193781113135351,0.259829310433569,-2.60148259734675,-30.704393455957,3255.71578981562,2,4.07173588823194,-3.76945805066714,1.81527504433937,-0.0764534630064971,-0.181788051077995,0.312110878868574,0,1,0,-1,7,0,0,0
